COMMENTS;SHELF;PN;DESC;QTY;;COND;SN;TAG INFO;TAG INFO;TAG DATE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3013453;EXTENSION STARTING CONTROL SHAFT;1;EA;OH;N/A;PRATT&WHITNEY - TCCA 24-0078 ;TCCA 24-0078;21/02/2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3012177;SHAFT COUPLING SCAV. PUMP;1;EA;OH;12-47-8;PRATT&WHITNEY - TCCA 24-0078 ;TCCA 24-0078;22/02/2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3003526;TUBE-TRANSFER 973X3.400;1;EA;OH;N/A;PRATT&WHITNEY - TCCA 24-0078;TCCA 24-0078;17/02/2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3106579-01;WASHER;1;EA;OH;N/A;JAA LUFTHASA;JAA FORM 1;09/04/2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3019488;TERMINAL PUSH-PULL REAR;1;EA;OH;N/A;STANDARD AERO - TCCA 24-0078;TCCA 24-0078;09/01/2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3007319;NUT PLAIN ROUND 2.125-20X.225;1;EA;OH;N/A;STANDARD AERO - TCCA 24-0078;TCCA 24-0078;11/05/2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3011533;REAR FIRE SEAL MOUNTING BRACKET;1;EA;OH;N/A;STANDARD AERO - TCCA 24-0078;TCCA 24-0078;11/05/2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3024564;BY-PASS VALVE SPRING;1;EA;OH;N/A;STANDARD AERO - TCCA 24-0078;TCCA 24-0078;27/06/2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3004116;COVER ASSY- MAIN SCAVENGE PUMP;1;EA;OH;N/A;STANDARD AERO - TCCA 24-0078;TCCA 24-0078;11/05/2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-1;3011684;LEVER FOLLOWER PROP REV CONTROL;1;EA;OH;N/A;8130 DALLAS AIRMOTIVE;FAA 8130;06/11/2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
