Part Number,,Cond,Qty In Stock,UM,Description,,W/H,Serial No.,,Reserved Qty,,,
18330904-2,,AR,1,EA,HIGH PRESSURE GAUGE,,Airbus,20181,,0,,,
18330904-2,,AR,1,EA,HIGH PRESSURE GAUGE,,Airbus,N/A,,0,,,
18330904-2,,AR,1,EA,HIGH PRESSURE GAUGE,,Airbus,20146,,0,,,
190QA01,,AR,1,EA,TRANSFORMER,,Airbus,6013,,0,,,
190QA01,,AR,1,EA,TRANSFORMER,,Airbus,6010,,0,,,
190QA01,,AR,1,EA,TRANSFORMER,,Airbus,3711,,0,,,
190QA01,,AR,1,EA,TRANSFORMER,,Airbus,3710,,0,,,
190QA01,,AR,1,EA,TRANSFORMER,,Airbus,3191,,0,,,
190QA01,,AR,1,EA,TRANSFORMER,,Airbus,2115,,0,,,
195PN01Y01,,AR,1,EA,INDICATOR RUDDER TRIM,,Airbus,2422,,0,,,
1M1226,,AR,1,EA,VALVE - CHECK,,Airbus,453,,0,,,
1X2005097-00,,AR,1,EA,LOGO LIGHT,,Airbus,295978,,0,,,
1X2005097-00,,AR,1,EA,LOGO LIGHT,,Airbus,1242412,,0,,,
201117017,,AR,1,EA,LH MLG UPLOCK,,Airbus,CWDD-DH160-98,,0,,,
201117017,,AR,1,EA,LH MLG UPLOCK,,Airbus,CWDD-DH48-94,,0,,,
201117018,,AR,1,EA,RH MLG UPLOCK,,Airbus,CWDD-DH154-98,,0,,,
201117021,,AR,1,EA,"UPLOCK, MLG",,Airbus,DH-0256-03,,0,,,
201117022,,AR,1,EA,"UPLOCK, MLG",,Airbus,DH-0278-03,,0,,,
201122008,,AR,1,EA,MLG DOOR UPLOCK,,Airbus,DH-0249-03,,0,,,
201122008,,AR,1,EA,MLG DOOR UPLOCK,,Airbus,DH-0248-03,,0,,,
201122008,,AR,1,EA,MLG DOOR UPLOCK,,Airbus,CWDD-DH313-98,,0,,,
064-01072-0101,,SV,1,EA,HF POWER AMPLIFIER,,Embraer,KPA1052-4375,,0,,,
064-01073-0102,,SV,1,EA,KRX1053 HF COMM TRANSCEIVER W/SELCA,,Embraer,KRX1053-5230,,0,,,
064-01073-0102,,SV,1,EA,KRX1053 HF COMM TRANSCEIVER W/SELCA,,Embraer,KRX1053-4870,,0,,,
066-01127-1402,,SV,1,EA,TRA-67A TRANSPONDER MODE S,,Airbus,TRA67A-25574,,0,,,
066-01153-4001,,SV,1,EA,RADAR ALTIMETER,,Embraer,KRA405B-10562,,0,,,
066-01153-4001,,SV,1,EA,RADAR ALTIMETER,,Embraer,KRA405B-10564,,0,,,
201122008,,AR,1,EA,MLG DOOR UPLOCK,,Airbus,CWDD-DH195-92,,0,,,
20149-0101,,AR,1,EA,COMPENSATOR - DUAL,,Airbus,142,,0,,,
2041230-3532,,AR,1,EA,RECEIVER - INSTRUMENT LANDING SYSTEM,,Airbus,6053,,0,,,
2041230-3532,,AR,1,EA,RECEIVER - INSTRUMENT LANDING SYSTEM,,Airbus,6684,,0,,,
210TS07Y01,,AR,1,EA,L/GEAR CONTROL LEVER,,Airbus,2603,,0,,,
0711480-003,,SV,1,EA,"VALVE, SHUTOFF",,Airbus,785,,0,,,
071-50001-8104,,SV,1,EA,TCAS ANTENNA,,Airbus,596-10958,,0,,,
21SN04-298A,,AR,1,EA,SCAV FLOW PRESSURE SWITCH,,Airbus,W46680,,0,,,
21SN04-300B,,AR,1,EA,F FILTER DIFF PRESS SWITCH,,Airbus,V43229,,0,,,
22715-000-02,,AR,1,EA,NLG DOOR ACT CYLINDR,,Airbus,H0873,,0,,,
22715-000-02,,AR,1,EA,NLG DOOR ACT CYLINDR,,Airbus,B207,,0,,,
07324P000-01,,SV,1,EA,BALL SCREW ASSY,,Boeing,4373,,0,,,
2403-89,,AR,1,EA,ANTENNA VHF COM,,Airbus,240389-8764,,0,,,
2406-89-03,,AR,1,EA,ANTENNA-DME ATC,,Airbus,3441,,0,,,
2406-89-03,,AR,1,EA,ANTENNA-DME ATC,,Airbus,3453,,0,,,
2406-89-03,,AR,1,EA,ANTENNA-DME ATC,,Airbus,4373,,0,,,
07325P000-01,,SV,1,EA,BALL SCREW ASSY,,Boeing,9121,,0,,,
2406-89-03,,AR,1,EA,ANTENNA-DME ATC,,Airbus,3440,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,4699,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,4659,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,4681,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,4666,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,240789-16055,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,240789-14555,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,8657,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,8596,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,240789-16056,,0,,,
2407-89-03,,AR,1,EA,ANTENNA DME,,Airbus,240789-14707,,0,,,
241-247-012-005,,AR,1,EA,EVMU-ENGINE VIBRATION MONITORING UNIT,,Airbus,AA85086,,0,,,
2438-89-00,,AR,1,EA,ANTENNA,,Airbus,243889-7567,,0,,,
2439-89-03,,AR,1,EA,ANTENNA,,Airbus,243989-5424,,0,,,
2439-89-03,,AR,1,EA,ANTENNA,,Airbus,243989-3273,,0,,,
080-20705-01,,SV,1,EA,TRANSFORMER RECTIFIR UNIT,,Boeing,6824,,0,,,
2439-89-03,,AR,1,EA,ANTENNA,,Airbus,243989-2832,,0,,,
2439-89-03,,AR,1,EA,ANTENNA,,Airbus,243989-3912,,0,,,
0861ED,,SV,1,EA,AOA SENSOR,,Airbus,0861ED-903,,0,,,
24E507009G03,,AR,1,EA,WATER HEATER,,Airbus,UJW04308,,0,,,
24E507009G03,,AR,1,EA,WATER HEATER,,Airbus,UJW03634,,0,,,
24E507009G03,,AR,1,EA,WATER HEATER,,Airbus,UJW10111,,0,,,
252CA01C102Y1,,AR,1,EA,CONTACTOR THREE POLE,,Airbus,4405,,0,,,
252CA01C102Y1,,AR,1,EA,CONTACTOR THREE POLE,,Airbus,966,,0,,,
252CA01C1-02Y1,,AR,1,EA,TPST-NO CONTACTOR,,Airbus,7228,,0,,,
2598D,,AR,1,EA,TRANSFORMER-LIGHTING,,Airbus,5076,,0,,,
2598D,,AR,1,EA,TRANSFORMER-LIGHTING,,Airbus,5078,,0,,,
2610-13-1,,AR,1,EA,CLOCK,,Airbus,CL2006,,0,,,
2624-82,,AR,1,EA,"ANTENNA, ELT",,Airbus,262482-3724,,0,,,
2624-82,,AR,1,EA,"ANTENNA, ELT",,Airbus,262482-1683,,0,,,
272-381704-00,,AR,1,EA,CAP-LEVER,,Airbus,N/A,,0,,,
292-1-3100-00,,AR,1,EA,SWITCH-PRESSURE,,Airbus,869,,0,,,
292-1-3100-00,,AR,1,EA,SWITCH-PRESSURE,,Airbus,1411,,0,,,
2A3106CL01,,AR,1,EA,DEP,,Airbus,V10403,,0,,,
2LA003968-00,,AR,1,EA,LIGHT ANTICOLLISION,,Airbus,3083,,0,,,
2LA003968-00,,AR,1,EA,LIGHT ANTICOLLISION,,Airbus,3073,,0,,,
2LA005127-01,,AR,1,EA,LIGHT-EMERGENCY OVERW,,Airbus,363358,,0,,,
2LA005128-01,,AR,1,EA,LIGHT-EMERGENCY OVERW,,Airbus,364622,,0,,,
2LA005308-01,,AR,1,EA,LIGHT UNIT- STROBE,,Airbus,1517,,0,,,
2LA005308-05,,AR,1,EA,WNG TIP STROBE LIGHT,,Airbus,362551,,0,,,
