AC_Type,MPN,DESIGNATION,ATA,CAPABILITY,PMA,DOA,DER,Code_OEM,Design_OEM
A330,VD3810,FAN,21,"EASA, FAA, CAAC",,,,D1227,AOA APPARAT
A330,VD3820,FAN,21,"EASA, FAA, CAAC",,,,D1227,AOA APPARAT
A330,VD3820-01,FAN,21,"EASA, FAA, CAAC",,,,D1227,AOA APPARAT
A330,VD3901-00,COOLING FAN,21,"EASA, FAA, CAAC",,,,D1227,AOA APPARAT
A330,VD3909-00,COOLING FAN,21,"EASA, FAA, CAAC",,,,D1227,AOA APPARAT
A330,VD3920,EXTRACTION FAN,21,"EASA, FAA, CAAC",,,,D1227,AOA APPARAT
A330,VF1620AA1,VENT OVERBOARD VALVE,21,"EASA, FAA, CAAC",,,,F4957,TECHNOFAN
A330,VF1620B00,VENT OVERBOARD VALVE,21,"EASA, FAA, CAAC",,,,F4957,TECHNOFAN
A330,VFT210B00,SKIN AIR INLET VALVE,21,"EASA, FAA, CAAC",,,,F4957,TECHNOFAN
A330,VSC8991,VACUUM SYSTEM CONTROLE,38,"EASA, FAA, CAAC",,X,,100J1,
A330,VSC8992,VACUUM SYSTEM CONTROLER,38,"EASA, FAA, CAAC",,X,,D1227,AOA APPARAT
A330,VSC8993,CONTROLLEUR VACCUM,38,"EASA, FAA, CAAC",,X,,D1227,AOA APPARAT
A330,VSC8994,CONTROLLER-VACUUM SYSTEM,38,"EASA, FAA, CAAC",,X,,D1227,AOA APPARAT
A330,WV9135-01,VALVE WATER,38,"EASA, FAA, CAAC",X,,,D1227,AOA APPARAT
A330,X8902,FAN CARGO HEATER,21,"EASA, FAA, CAAC",,X,,K7776,AMETEK
A330,X8902-1,FAN,21,"EASA, FAA, CAAC",,X,,K7776,AMETEK
A330,Z011H0000116,CIDS-DIRECTOR,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z011H000042A,CIDS DIRECTOR,23,"EASA, FAA, CAAC",,,,,
A330,Z011H0001116,CIDS-DIRECTOR,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z011H000142A,CIDS DIRECTOR,23,"EASA, FAA, CAAC",,,,,
A330,Z011H0002116,CIDS-DIRECTOR,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z011H000241A,CIDS DIRECTOR,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z011H000242A,CIDS DIRECTOR,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z013H000050C,CIDS-DIRECTOR,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z013H000051A,CIDS-DIRECTOR,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z013H000151A,CIDS DIRECTOR,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z031H0000110,"DECODER ENCODER UNIT, A",23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z031H0001110,"DECODER ENCODER UNIT, A",23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z031H0002110,"DECODER ENCODER UNIT, A",23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z033H0000110,DECODER ENCODER UNIT A,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z033H0001110,DEU-UNIT잸,23,"EASA, FAA, CAAC",,,,C5270,DIEHL GMBH
A330,Z033H0002110,DEU-UNIT잸,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z033H0002111,DECODER ENCODER UNIT A,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z033H0003112,DECODER ENCODER UNIT A,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z041H0000110,DECODER ENCODER UNIT B,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z041H000140A,DECODER ENCODER UNIT B,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z041H000240B,DECODER ENCODER UNIT B,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z043H000050A,DECODER ENCODER UNIT B,23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z043H000351A,"DECODER ENCODER,UNIT B",23,"EASA, FAA, CAAC",,,,C9072,AIRBUS
A330,Z053H002M084,CABIN ASSIGNMENT MODULE,23,"EASA, FAA",,,,C9072,AIRBUS
