Fld_Company_ID;Company_Old_Id;Fld_Company_Name;Fld_Company_Rating_ID;delete
1324;386658594;Aero Controls Avionics Inc;;FAUX
614;1626;AERO CRAFT HYDRAULICS;;FAUX
1007;1367335459;Aero Direct;;FAUX
3777;;Aero EXCESS;;FAUX
985;1139080938;Aero Exchange Intl;;FAUX
1727;2136405074;AERO EXPRESS;;FAUX
2377;;AERO EXPRESS DEL ECUADOR TRANSAM C. LTDA;;FAUX
3776;;Aero Express parts INC;;FAUX
4062;;Aero Flight Parts & Components;;FAUX
241;115632195;Aero Industrial Sales Co;;FAUX
565;-1602711881;AERO INSTRUMENT;;FAUX
37;2136404887;Aero Instruments & Avionics;;FAUX
1387;1072821385;AERO INVENTORY (UK);;FAUX
4513;;Aero Inventory (USA);;FAUX
1834;1589211025;AERO ITALIA;;FAUX
336;2136404983;AERO KOOL CORP.;;FAUX
4198;;AERO MANAGEMENT INC TRUSTEE;;FAUX
87;2136405152;Aero Marine Technologies;;FAUX
3749;;Aero Material Support;;FAUX
3755;;Aero Mechanical Industries;;FAUX
3071;;Aero Mexico;;FAUX
3373;;Aero Mongolia;;FAUX
1905;1610;AERO NEGOCE INT'L;;FAUX
2021;;Aero Nusantara Indonesia;;FAUX
1280;1448;Aero Partners;;FAUX
4001;;Aero Parts Logistics;;FAUX
4620;;Aero Parts Mart;;FAUX
2981;;Aero Parts service;;FAUX
4464;;AERO PARTS USA;;FAUX
415;957;AERO PERU;;FAUX
3581;;Aero Pneudraulics, Inc.;;FAUX
4102;;Aero Power Solutions;;FAUX
4759;;Aero Precision Industries;;FAUX
25;2130050705;Aero quality;;FAUX
2505;;AERO QUALITY SALES (MF);;FAUX
2222;;AERO REPUBLICA;;FAUX
4763;;Aero Resource;;FAUX
24;2117644207;Aero Sales Group;;FAUX
255;-140199635;AERO SERVICES Group;;FAUX
3881;;Aero Sol Aviation Solutions LLC;;FAUX
4866;;aero space;;FAUX
1036;719;AERO SPECIAL SERVICE;;FAUX
4582;;Aero Star Industry;;FAUX
5099;;Aero Supplies Inc;;FAUX
3970;;AERO SUPPLIES INTL;;FAUX
897;-1303387804;Aero supply & consulting corp;;FAUX
1000;1300483975;Aero Support;;FAUX
3767;;Aero Support Canada;;FAUX
130;2136405103;Aero Synergies;;FAUX
1588;833589587;AERO SYSTEM Singapor;;FAUX
2378;;AERO SYSTEMS;;FAUX
4222;;Aero Technical Components;;FAUX
580;-2078973606;AERO Technical Support;;FAUX
3160;;Aero Technics;;FAUX
534;1032849822;AERO TECHNOLOGIES;;FAUX
1332;1520;AERO TECHNOLOGY;;FAUX
2275;;AERO TOY STORE;;FAUX
4565;;Aero trottel;;FAUX
3552;;Aero Vision  INTL;;FAUX
3789;;Aero Voo De Portugal;;FAUX
2695;;AERO ZAMBIA;;FAUX
1731;2136405078;AERO ZONE;;FAUX
302;2136404917;AEROAID;;FAUX
4531;;Aeroassist Pty Ltd;;FAUX
1028;687;AEROCARIBE;;FAUX
2469;2136405361;Aerocondor Transportes Aéreos, SA;;FAUX
728;1090;AEROCONTRACTS;;FAUX
586;-2028904583;AEROCONTROLEX;;FAUX
624;1637;AEROCORE PART SALES;;FAUX
5015;;Aerocorp Avionic Solutions;;FAUX
2125;;AERO-DIENST;;FAUX
31;2136404880;Aerodinamica;;FAUX
4287;;AERODIS;;FAUX
4264;;AERODIS, INC;;FAUX
3954;;AERODROME SUPPORT, INC;;FAUX
3887;;Aerodune L.L.C;;FAUX
3574;;Aerodynamics;;FAUX
3907;;Aeroeagle Resources Asia Pte Ltd;;FAUX
1775;1275;AEROEL Airways;;FAUX
3704;;Aeroflight Parts & Components;;FAUX
3459;;Aeroflot;;FAUX
5023;;Aerofulcrum Inc;;FAUX
1367;1038496763;AEROGAVIOTA;;FAUX
2123;;AEROGULF SERVICES CO;;FAUX
4732;;Aero-Instruments;;FAUX
3900;;aerojet componentes;;FAUX
4041;;Aeroklass;;FAUX
5042;;AeroLab Inc;;FAUX
4974;;Aeroland Airways;;FAUX
2140;;Aerolinas Argentinas;;FAUX
4384;;Aerolineas Mesoamericanas;;FAUX
3934;;Aerolíneas Regionales S.A. de C.V.;;FAUX
60;2136405125;"AERO-LINK ARIZONA
Aero-Link Arizona, Inc";;FAUX
4996;;Aerolink Int'l;;FAUX
2997;;AEROLITORAL - Aeromexico Connect;;FAUX
2044;;AeroLogistics;;FAUX
1557;720577016;AERO-MACH LABS;;FAUX
5077;;AeroMacro;;FAUX
2931;;Aeroman (TACA);;FAUX
1029;691;AEROMAR SA;;FAUX
2950;;Aero-Marine Technologies;;FAUX
