EIA1533B;EIA1533B;JUNCTION AND AMPLIFIER         (TEAM);REPAIR;;;;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
EIA1533C;EIA1533C;JUNCTION AND AMPLIFIER         (TEAM);REPAIR;;;;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
EIA1533E;EIA1533E;INTERCONNECTION AND INTERPHONE AMPLIFIER;REPAIR;;;;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
EL10101;EL101-01;P.C.B.,;REPAIR;;;;X;X;X;X;X;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
ELP362D;ELP-362D;EMERGENCY LOCATING BEACON;;REPAIR;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;
ELT96A256000000;ELT96A256000000;EMERGENCY LOCATOR TRANSMITTER;;CODING ;;;X;X;X;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;X;;;
ELT96A256000000;ELT96A256000000;EMERGENCY LOCATOR TRANSMITTER;;BATTERY CHANGE;;;X;X;X;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;X;;;
ELT97A256000000;ELT97A256000000;EMERGENCY LOCATOR TRANSMITTER;;CODING;;;X;X;X;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;X;;;
ELT97A256000000;ELT97A256000000;EMERGENCY LOCATOR TRANSMITTER;;BATTERY CHANGE;;;X;X;X;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;X;;;
EM1A;EM-1A;MEGAPHONE;;REPAIR;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;
